A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
1.31	1.297	0.985	-0.311	1.38	0	0	0.10184	0.52792	0.99367	0	0	0	71877	Efhc1	chr1
2.44	-0.067	0.723	0.79	0	0	0	0.99914	0.86644	0.80851	0	0	0	170829	Tram2	chr1
1.08	1.179	0.309	-0.869	0.74	0	0	0.24076	0.99349	0.7012	0	0	0	75712	Tmem14a	chr1
0.38	7.247	8.05	0.803	13.56	14.98	0	0	0	0.64353	1	1	0	226922	Kcnq5	chr1
5.59	-3.592	-1.351	2.241	-9.28	-1.25	4.87	0.00001	0.12326	0.00063	-1	0	1	70155	Ogfrl1	chr1
1.77	-0.441	0.18	0.621	0	0	0	0.88936	0.96464	0.80412	0	0	0	280645	B3gat2	chr1
4.87	0.7	0.587	-0.113	0	0	0	0.98426	0.99673	0.99998	0	0	0	98366	Smap1	chr1
2.2	0.879	-0.494	-1.373	0	0	-1.4	0.66158	0.9625	0.09918	0	0	0	68002	Sdhaf4	chr1
5.19	0.493	0.579	0.086	0	0	0	0.97636	0.95708	0.99926	0	0	0	68187	Fam135a	chr1
5.98	-1.533	0.553	2.086	-1.69	0	3.63	0.0645	0.90222	0.00337	0	0	0	12839	Col9a1	chr1
6.22	-0.964	-0.656	0.308	0	0	0	0.61951	0.99167	0.99991	0	0	0	68421	Lmbrd1	chr1
1.98	1.44	1.2	-0.24	2.11	1.02	0	0.03404	0.16961	0.99651	0	0	0	665903	Gm7846	NA
7.25	-0.539	-0.386	0.153	0	0	0	0.99689	0.99939	0.99996	0	0	0	213109	Phf3	chr1
6.19	-0.336	0.311	0.647	0	0	0	0.99857	0.99883	0.97854	0	0	0	19243	Ptp4a1	chr1
4.07	1.103	0.991	-0.111	0.57	0	0	0.29327	0.51875	0.99957	0	0	0	19076	Prim2	chr1
3.43	0.843	0.368	-0.475	0	0	0	0.81008	0.99786	0.99335	0	0	0	19335	Rab23	chr1
4.69	1.005	0.93	-0.075	0.04	0	0	0.48535	0.68286	0.99994	0	0	0	213539	Bag2	chr1
4.78	-0.471	0.22	0.69	0	0	0	0.97545	0.99549	0.90123	0	0	0	98403	Zfp451	chr1
3.14	0.515	0.235	-0.28	0	0	0	0.99475	0.99971	0.99951	0	0	0	433287	Gm15455	chr1
9.94	1.633	0.723	-0.91	3.06	0	0	0.00784	0.8879	0.67995	1	0	0	13518	Dst	chr1
3.18	-0.396	-0.087	0.309	0	0	0	0.9977	0.99987	0.99912	0	0	0	69668	Ccdc115	chr1
5.27	-0.024	0.046	0.07	0	0	0	0.99999	0.99999	0.99999	0	0	0	27993	Imp4	chr1
4.08	-0.4	-0.284	0.116	0	0	0	0.99824	0.99943	0.99991	0	0	0	52318	D1Ertd448e	NA
4.13	-5.632	-4.564	1.068	-28.41	-21.79	0.61	0	0	0.27831	-1	-1	0	19253	Ptpn18	chr1
2.65	1.935	2.505	0.57	4.9	7.72	0	0.00061	0.00003	0.96488	1	1	0	226970	Arhgef4	chr1
7.92	0.308	0.41	0.103	0	0	0	0.99966	0.99905	0.99997	0	0	0	214469	Fam168b	chr1
5.97	-0.638	-1.929	-1.291	0	-5.5	-1.84	0.96747	0.00029	0.05174	0	-1	0	226971	Plekhb2	chr1
7.3	-0.273	0.743	1.015	0	0	0.09	0.99758	0.89529	0.46559	0	0	0	50785	Hs6st1	chr1
7.39	0.368	-0.158	-0.526	0	0	0	0.99965	0.99995	0.99873	0	0	0	320011	Uggt1	chr1
0.25	1.31	1.06	-0.249	0.74	0.15	0	0.24076	0.44242	0.95202	0	0	0	214854	Neurl3	chr1
7.91	1.46	0.874	-0.586	2.47	0	0	0.01931	0.74013	0.98046	0	0	0	214855	Arid5a	chr1
6.73	-0.435	-0.2	0.235	0	0	0	0.99819	0.9998	0.99983	0	0	0	226976	Kansl3	chr1
4.86	-0.677	-1.374	-0.697	0	-3.24	0	0.98696	0.00603	0.98793	0	-1	0	214895	Lman2l	chr1
5.49	0.267	0.745	0.478	0	0	0	0.99885	0.9166	0.9944	0	0	0	94220	Cnnm4	chr1
4.11	-0.758	-0.969	-0.212	0	0	0	0.87032	0.56067	0.99871	0	0	0	94218	Cnnm3	chr1
2.68	-0.164	-0.817	-0.653	0	0	0	0.99717	0.78849	0.92885	0	0	0	78321	Ankrd23	chr1
2.67	0.076	-0.69	-0.766	0	0	0	0.99986	0.96313	0.9206	0	0	0	109346	Ankrd39	chr1
7.87	-0.186	-1.323	-1.138	0	-1.64	-0.76	0.99865	0.07001	0.23552	0	0	0	20353	Sema4c	chr1
0.78	0.225	-0.783	-1.008	0	0	-0.03	0.98697	0.78225	0.48862	0	0	0	381337	Fam178b	chr1
3.58	0.294	-0.221	-0.515	0	0	0	0.99819	0.99926	0.99013	0	0	0	12859	Cox5b	chr1
6.67	0.454	0.294	-0.16	0	0	0	0.9994	0.99989	0.99998	0	0	0	226977	Actr1b	chr1
6.99	0.453	0.4	-0.053	0	0	0	0.99929	0.9996	0.99999	0	0	0	56030	Tmem131	chr1
4.8	0.585	1.096	0.511	0	0.58	0	0.98254	0.28756	0.99207	0	0	0	269180	Inpp4a	chr1
6.25	-0.817	-1.082	-0.265	0	-0.55	0	0.87334	0.29818	0.99963	0	0	0	76178	Coa5	chr1
4.54	-0.295	-0.65	-0.356	0	0	0	0.99955	0.98424	0.99946	0	0	0	67387	Unc50	chr1
6.14	-2.391	-0.391	2	-8.23	0	6.3	0.00002	0.99654	0.00012	-1	0	1	269181	Mgat4a	chr1
2.66	0.081	0.38	0.299	0	0	0	0.99944	0.99286	0.99625	0	0	0	77633	4930594C11Rik	chr1
3.63	-5.67	-4.954	0.716	-17.38	-14.68	0	0	0	0.93492	-1	-1	0	72097	2010300C02Rik	chr1
1.13	-1.182	-1.083	0.099	-0.75	-0.35	0	0.23819	0.36945	0.99875	0	0	0	211484	Tsga10	chr1
0.94	-0.483	-0.471	0.012	0	0	0	0.95684	0.96236	0.99972	0	0	0	623661	Lipt1	chr1
2.78	0.988	0.555	-0.433	0	0	0	0.52656	0.98646	0.99454	0	0	0	69028	Mitd1	chr1
4.43	0.639	0.145	-0.494	0	0	0	0.98757	0.99994	0.99809	0	0	0	107734	Mrpl30	chr1
5.73	-0.753	-0.428	0.325	0	0	0	0.95371	0.99888	0.99973	0	0	0	98258	Txndc9	chr1
7.53	-0.475	0.164	0.639	0	0	0	0.97598	0.99747	0.9399	0	0	0	226982	Eif5b	chr1
4.47	-0.083	0.329	0.413	0	0	0	0.99832	0.98781	0.98131	0	0	0	56210	Rev1	chr1
1.01	3.466	4.803	1.337	5.92	8.37	0.68	0.00018	0.00002	0.25751	1	1	0	16764	Aff3	chr1
-0.25	0.257	0.993	0.736	0	0	0	0.96131	0.5074	0.73723	0	0	0	98388	Chst10	chr1
5.93	0.476	0.209	-0.266	0	0	0	0.99851	0.9999	0.99988	0	0	0	68833	Pdcl3	chr1
2.42	-5.057	-3.873	1.184	-17.55	-12.27	1.19	0	0	0.1335	-1	-1	0	18143	Npas2	chr1
3.37	-0.043	-0.048	-0.005	0	0	0	0.99996	0.99996	1	0	0	0	114641	Rpl31	chr1
5.51	-2.151	-1.951	0.199	-9.74	-8.05	0	0.00001	0.00002	0.99996	-1	-1	0	54610	Tbc1d8	chr1
4.61	1.065	1.032	-0.033	0.47	0.24	0	0.32468	0.40884	0.99998	0	0	0	52846	Cnot11	chr1
-0.5	0.506	1.95	1.444	0	2.13	0.98	0.8699	0.03295	0.17879	0	0	0	100217461	Snord89	chr1
6.8	0.475	1.273	0.798	0	1.32	0	0.98239	0.11195	0.83945	0	0	0	67702	Rnf149	chr1
-2.91	4.667	6.544	1.877	6.39	9.25	1.31	0.00011	0.00001	0.11397	1	1	0	263764	Creg2	chr1
7.91	0.247	0.762	0.515	0	0	0	0.99922	0.91171	0.99468	0	0	0	26921	Map4k4	chr1
-0.33	-0.991	0.17	1.16	0	0	0.22	0.51983	0.92767	0.42379	0	0	0	16178	Il1r2	chr1
4.84	-1.725	-2.034	-0.309	-3.36	-4.84	0	0.00501	0.00065	0.99651	-1	-1	0	16177	Il1r1	chr1
3.17	0.882	0.979	0.097	0	0	0	0.78777	0.55777	0.99992	0	0	0	107527	Il1rl2	chr1
0.11	1.305	2.267	0.962	0.57	2.28	0	0.29509	0.02614	0.53031	0	0	0	17082	Il1rl1	chr1
3.77	-3.192	-3.99	-0.798	-8.96	-12.44	0	0.00001	0	0.84565	-1	-1	0	16182	Il18r1	chr1
-0.19	-3.107	-2.699	0.408	-4.23	-3.41	0	0.00148	0.00466	0.92027	-1	-1	0	16174	Il18rap	chr1
-1.06	-3.748	-1.373	2.375	-5.38	-0.66	3	0.00035	0.26448	0.00867	-1	0	0	110895	Slc9a4	chr1
0.93	-2.767	-1.135	1.632	-6.33	-0.45	2.52	0.00012	0.33151	0.01789	-1	0	0	226999	Slc9a2	chr1
1.34	-0.902	-0.78	0.122	0	0	0	0.6318	0.77296	0.99623	0	0	0	211798	Mfsd9	chr1
4.78	-0.009	-0.201	-0.192	0	0	0	1	0.99992	0.99994	0	0	0	69527	Mrps9	chr1
5.05	-0.461	-0.459	0.002	0	0	0	0.99556	0.99583	1	0	0	0	73122	Tgfbrap1	chr1
3.89	0.605	-0.108	-0.713	0	0	0	0.94492	0.99904	0.89481	0	0	0	98404	AI597479	chr1
5.53	1.563	1.906	0.343	1.63	2.62	0	0.07116	0.01545	0.96104	0	0	0	14200	Fhl2	chr1
4	0.298	0.042	-0.256	0	0	0	0.99929	0.99997	0.99961	0	0	0	666642	Gm8210	NA
7.28	-0.555	-2.04	-1.485	0	-6.9	-3.46	0.99157	0.00006	0.00435	0	-1	0	17974	Nck2	chr1
3.11	5.45	6.465	1.014	23.6	26.61	0.07	0	0	0.47428	1	1	0	78896	1500015O10Rik	chr1
3.53	-0.157	-1.109	-0.952	0	-0.69	0	0.99955	0.25386	0.61694	0	0	0	67883	Uxs1	chr1
5.08	-0.392	-0.447	-0.055	0	0	0	0.99964	0.99939	0.99999	0	0	0	100503192	Gm19587	NA
6.96	-0.012	0.369	0.381	0	0	0	0.99982	0.98735	0.99019	0	0	0	22019	Tpp2	chr1
3.95	-0.043	0.387	0.429	0	0	0	0.99985	0.99532	0.99402	0	0	0	75623	Tex30	chr1
4.38	2.408	2.023	-0.385	9.21	7.02	0	0.00001	0.00006	0.99811	1	1	0	72050	Kdelc1	chr1
3.05	0.188	-0.33	-0.518	0	0	0	0.99283	0.98514	0.95164	0	0	0	246229	Bivm	chr1
4.66	0.605	0.89	0.285	0	0	0	0.99431	0.80632	0.99985	0	0	0	22592	Ercc5	chr1
3.57	1.737	2.89	1.153	2.68	6.33	0.51	0.0141	0.00012	0.31331	0	1	0	70676	Gulp1	chr1
7.5	-0.132	1.086	1.217	0	0.1	0.29	0.94202	0.47749	0.4003	0	0	0	12825	Col3a1	chr1
5.34	3.328	4.865	1.537	3.34	5.28	0.76	0.00528	0.0004	0.23714	1	1	0	12832	Col5a2	chr1
5.43	0.641	0.655	0.014	0	0	0	0.95057	0.94581	0.99994	0	0	0	73674	Wdr75	chr1
5.55	1.25	1.232	-0.018	1.9	1.78	0	0.04724	0.05677	0.99999	0	0	0	433297	Gm5526	NA
2.26	-0.779	-1.669	-0.89	0	-2.96	0	0.80903	0.00915	0.68963	0	-1	0	53945	Slc40a1	chr1
1.08	3.706	2.225	-1.481	4.98	2.8	-0.87	0.00057	0.01164	0.20555	1	0	0	227058	Dnah7b	chr1
5.52	2.861	2.219	-0.642	8.53	5.81	0	0.00001	0.0002	0.93816	1	1	0	227059	Slc39a10	chr1
0.55	1.369	3.387	2.018	0.7	3.78	1.59	0.25227	0.00277	0.07661	0	1	0	56363	Tmeff2	chr1
5.4	3.508	3.384	-0.124	10.82	10.5	0	0	0	0.99823	1	1	0	20324	Sdpr	chr1
7.46	-1.835	-1.352	0.483	-3.62	-1.53	0	0.00342	0.08254	0.97782	-1	0	0	109019	Nabp1	chr1
6.52	-0.076	-0.677	-0.601	0	0	0	0.99991	0.9685	0.98946	0	0	0	17912	Myo1b	chr1
-0.8	-0.326	-1.852	-1.526	0	-2.09	-1.33	0.92544	0.03494	0.11044	0	0	0	20849	Stat4	chr1
5.44	-0.378	-0.884	-0.506	0	0	0	0.99885	0.78498	0.99711	0	0	0	20846	Stat1	chr1
7.83	0.407	0.936	0.529	0	0	0	0.99611	0.64369	0.99251	0	0	0	14660	Gls	chr1
7.18	-1.547	-0.721	0.826	-2.7	0	0	0.01365	0.89806	0.80786	0	0	0	17936	Nab1	chr1
2.85	-0.119	-0.626	-0.507	0	0	0	0.99949	0.96873	0.98996	0	0	0	227094	Tmem194b	chr1
6.58	-2	-1.158	0.842	-7.39	-1.17	0	0.00004	0.138	0.87684	-1	0	0	98682	Mfsd6	chr1
3.81	-0.164	0.563	0.726	0	0	0	0.99971	0.98777	0.944	0	0	0	16329	Inpp1	chr1
4.2	0.446	0.179	-0.267	0	0	0	0.99875	0.99992	0.99983	0	0	0	227095	Hibch	chr1
-0.05	4.022	5.222	1.199	9.01	11.33	0.49	0.00001	0	0.31846	1	1	0	67080	1700019D03Rik	chr1
2.44	-0.008	-0.256	-0.248	0	0	0	0.99998	0.99928	0.99936	0	0	0	227099	Pms1	chr1
3.28	-0.7	-1.764	-1.064	0	-2.89	-0.26	0.84152	0.01019	0.40209	0	-1	0	227102	Ormdl1	chr1
2.26	1.061	0.461	-0.6	0.35	0	0	0.36905	0.9946	0.97521	0	0	0	72085	Osgepl1	chr1
4.71	-0.4	-0.404	-0.004	0	0	0	0.999	0.99902	1	0	0	0	70396	Asnsd1	chr1
4.47	0.811	0.618	-0.194	0	0	0	0.90141	0.9904	0.99988	0	0	0	98267	Stk17b	chr1
0.34	1.245	2.676	1.431	0.57	3.61	0.9	0.2912	0.0035	0.19692	0	1	0	329152	Hecw2	chr1
3.88	0.243	-0.216	-0.459	0	0	0	0.99983	0.9999	0.9989	0	0	0	98488	Gtf3c3	chr1
4.47	-0.134	-0.529	-0.396	0	0	0	0.99985	0.9948	0.99888	0	0	0	241062	Pgap1	chr1
4.61	1.797	1.409	-0.388	4.16	2.23	0	0.0016	0.02831	0.99425	1	0	0	329154	Ankrd44	chr1
9.66	-0.384	0.172	0.556	0	0	0	0.99728	0.99957	0.99107	0	0	0	81898	Sf3b1	chr1
7.73	-0.71	0.222	0.931	0	0	0	0.96512	0.99976	0.69728	0	0	0	67876	Coq10b	chr1
7.2	0.597	0.657	0.06	0	0	0	0.99272	0.9851	0.99999	0	0	0	15510	Hspd1	chr1
5.29	1.124	0.783	-0.34	0.91	0	0	0.19429	0.92882	0.99955	0	0	0	15528	Hspe1	chr1
5.89	-0.109	-0.285	-0.176	0	0	0	0.9998	0.99905	0.99975	0	0	0	19070	Mob4	chr1
3.81	-1.597	-0.29	1.307	-1.97	0	1.05	0.04255	0.9737	0.16192	0	0	0	74013	Rftn2	chr1
3.29	-0.018	0.602	0.62	0	0	0	0.99928	0.89693	0.89135	0	0	0	212679	Mars2	chr1
3.61	1.848	4.474	2.626	3.29	10.97	5.2	0.00556	0	0.00042	1	1	1	227120	Plcl1	chr1
1.99	1.906	0.892	-1.014	3.82	0	-0.06	0.00257	0.69301	0.47682	1	0	0	626009	Gm6644	NA
1.2	0.762	1.588	0.826	0	2.37	0	0.82629	0.02281	0.74333	0	0	0	73467	1700066M21Rik	chr1
3.03	-0.104	-0.015	0.088	0	0	0	0.99851	0.99981	0.99897	0	0	0	68736	Tyw5	chr1
4.1	-0.268	-0.153	0.115	0	0	0	0.99981	0.99994	0.99997	0	0	0	68115	9430016H08Rik	chr1
4.23	2.688	1.377	-1.311	8.39	2.09	-1.58	0.00002	0.03514	0.07645	1	0	0	67198	Spats2l	chr1
3.04	0.226	-0.351	-0.577	0	0	0	0.99789	0.99577	0.97271	0	0	0	51960	Kctd18	chr1
1.52	1.938	2.442	0.504	4.44	6.71	0	0.0011	0.00008	0.96807	1	1	0	68549	Sgol2a	chr1
3.46	1.634	0.146	-1.488	2.12	0	-1.69	0.03341	0.99532	0.0646	0	0	0	11761	Aox1	chr1
8.2	-0.002	0.227	0.229	0	0	0	1	0.9992	0.99953	0	0	0	66882	Bzw1	chr1
8.07	-0.251	0.118	0.368	0	0	0	0.99715	0.99908	0.99533	0	0	0	12747	Clk1	chr1
3.39	0.425	0.26	-0.165	0	0	0	0.99468	0.99889	0.99948	0	0	0	70225	Ppil3	chr1
3.5	0.329	-0.149	-0.478	0	0	0	0.99839	0.99975	0.995	0	0	0	65102	Nif3l1	chr1
4.53	0.825	0.548	-0.276	0	0	0	0.90822	0.99759	0.99987	0	0	0	18393	Orc2	chr1
4.27	-1.513	-1.019	0.494	-2.21	-0.08	0	0.02921	0.46896	0.9776	0	0	0	213056	Fam126b	chr1
4.41	0.242	-0.386	-0.629	0	0	0	0.9992	0.99775	0.97879	0	0	0	66495	Ndufb3	chr1
0.54	0.03	0.393	0.362	0	0	0	0.99855	0.96375	0.97012	0	0	0	100504501	Gm20257	chr1
6.36	0.272	0.275	0.002	0	0	0	0.99764	0.99761	0.99999	0	0	0	12633	Cflar	chr1
4.88	-0.007	-0.72	-0.713	0	0	0	0.99999	0.95037	0.95815	0	0	0	12370	Casp8	chr1
6.75	0.595	0.857	0.263	0	0	0	0.9925	0.84562	0.99985	0	0	0	70827	Trak2	chr1
2.27	1.274	0.743	-0.531	1.59	0	0	0.07571	0.92664	0.98688	0	0	0	227154	Stradb	chr1
3.26	1.71	1.457	-0.253	4.08	2.74	0	0.0018	0.01272	0.99857	1	0	0	381259	Tmem237	chr1
5.48	0.699	0.854	0.155	0	0	0	0.96625	0.83266	0.99989	0	0	0	74018	Als2	chr1
5.95	2.455	2.924	0.469	4.89	6.45	0	0.00061	0.0001	0.95412	1	1	0	14369	Fzd7	chr1
5.34	-0.209	-0.184	0.026	0	0	0	0.99991	0.99993	1	0	0	0	22218	Sumo1	chr1
7.99	1.575	1.609	0.034	2.78	2.93	0	0.01211	0.00952	0.99985	0	1	0	55989	Nop58	chr1
6.26	0.49	0.556	0.065	0	0	0	0.97011	0.95393	0.99929	0	0	0	12168	Bmpr2	chr1
2.21	1.021	0.741	-0.28	0.07	0	0	0.47288	0.80661	0.98023	0	0	0	100504533	NA	NA
5.38	0.112	0.833	0.721	0	0	0	0.9999	0.85994	0.9614	0	0	0	72750	Fam117b	chr1
-0.39	1.105	2.124	1.019	0.35	3.57	0.06	0.36801	0.00371	0.47789	0	1	0	70375	Ica1l	chr1
3.44	0.765	0.865	0.1	0	0	0	0.89982	0.78001	0.99974	0	0	0	57750	Wdr12	chr1
1.91	0.039	0.381	0.341	0	0	0	0.99945	0.98702	0.99045	0	0	0	241066	Carf	chr1
0.02	0.11	-0.201	-0.311	0	0	0	0.99421	0.99003	0.97914	0	0	0	100504573	Gm15464	NA
6.11	-0.003	-0.071	-0.068	0	0	0	0.99993	0.99843	0.99892	0	0	0	269198	Nbeal1	chr1
4.15	-0.824	-0.808	0.016	0	0	0	0.85396	0.87623	0.99999	0	0	0	77951	Cyp20a1	chr1
5.02	1.133	1.082	-0.05	1.01	0.64	0	0.17147	0.27108	0.99998	0	0	0	329165	Abi2	chr1
5.98	-0.775	0.504	1.279	0	0	1.67	0.88195	0.98825	0.06642	0	0	0	77300	Raph1	chr1
4.01	-0.026	0.873	0.899	0	0	0	0.99968	0.70098	0.6676	0	0	0	72823	Pard3b	chr1
3.11	3.269	3.195	-0.074	5.42	5.45	0	0.00033	0.00031	0.9857	1	1	0	18187	Nrp2	chr1
6.95	-0.907	-0.252	0.655	0	0	0	0.69361	0.9986	0.96537	0	0	0	227195	Ino80d	chr1
0.72	-0.179	0.241	0.42	0	0	0	0.99083	0.98609	0.96219	0	0	0	100380944	Ino80dos	chr1
5.98	0.733	0.196	-0.537	0	0	0	0.96586	0.9999	0.99772	0	0	0	227197	Ndufs1	chr1
9.5	-0.302	-0.176	0.126	0	0	0	0.99971	0.99991	0.99997	0	0	0	55949	Eef1b2	chr1
0.5	-0.095	0.761	0.856	0	0	0	0.99784	0.80912	0.70635	0	0	0	100217464	Snora41	chr1
2.54	0.889	1.031	0.142	0	0.08	0	0.6106	0.46823	0.98	0	0	0	73884	Zdbf2	chr1
0.58	0.489	2.43	1.94	0	1.91	1.25	0.79458	0.04721	0.12585	0	0	0	23792	Adam23	chr1
4.68	-0.001	0.083	0.084	0	0	0	1	0.99997	0.99997	0	0	0	75619	Fastkd2	chr1
4.15	-1.595	0.236	1.831	-1.81	0	2.59	0.05372	0.97379	0.01617	0	0	0	93691	Klf7	chr1
6.05	-0.19	-0.095	0.096	0	0	0	0.99958	0.99984	0.9999	0	0	0	12912	Creb1	chr1
2.71	1.128	0.077	-1.052	0.52	0	-0.22	0.30862	0.99903	0.41701	0	0	0	67099	Mettl21a	chr1
0.17	0.501	0.814	0.312	0	0	0	0.90522	0.69725	0.95828	0	0	0	69941	2810408I11Rik	chr1
4.34	1.032	1.464	0.431	0.17	2.42	0	0.43534	0.02108	0.99077	0	0	0	227210	Ccnyl1	chr1
6.01	-0.133	0.769	0.902	0	0	0	0.99525	0.78964	0.64454	0	0	0	14367	Fzd5	chr1
4.24	1.285	0.844	-0.441	1.91	0	0	0.0463	0.84651	0.99741	0	0	0	241075	Plekhm3	chr1
-0.12	0.186	0.608	0.422	0	0	0	0.99162	0.89972	0.96332	0	0	0	667276	Gm8550	NA
5.12	0.103	0.485	0.382	0	0	0	0.99993	0.99733	0.99926	0	0	0	15926	Idh1	chr1
5.26	-0.081	0.009	0.09	0	0	0	0.99911	0.99991	0.99926	0	0	0	18711	Pikfyve	chr1
7.07	-0.476	1.46	1.936	0	2.14	4.7	0.97911	0.03242	0.00078	0	0	1	17756	Map2	chr1
2.39	-2.241	0.25	2.492	-5.32	0	6.27	0.00036	0.98973	0.00012	-1	0	1	329178	Unc80	chr1
5.09	-0.258	-0.358	-0.1	0	0	0	0.99986	0.99967	0.99998	0	0	0	66646	Rpe	chr1
5.53	0.64	1.921	1.282	0	4.3	1.39	0.93892	0.00132	0.10176	0	1	0	68691	Kansl1l	chr1
7.03	0.184	0.661	0.477	0	0	0	0.99977	0.97667	0.99785	0	0	0	11363	Acadl	chr1
5.36	1.04	0.622	-0.418	0.36	0	0	0.36571	0.99531	0.99968	0	0	0	14768	Lancl1	chr1
1.74	-5.468	-4.297	1.17	-9.12	-6.66	0.56	0.00001	0.00008	0.29688	-1	-1	0	13869	Erbb4	chr1
