"Term","Count","Box.Office","Critic.Score"
"adriana",1,0.1,29
"adrift",2,217.7,67
"adult",9,11.83,40.11
"adulterous",3,19.37,60.67
"adulthood",2,9.35,30.5
"adults",5,44.04,34.6
"advance",1,58.4,85
"advanced",4,84.86,64.75
"advances",2,1.06,58.5
"advantage",5,77.64,51.6
"adventure",33,61.28,47.03
"adventurer",2,200.3,63.5
"adventures",14,32.7,32.64
"adventuress",2,97.6,21.5
"adventurous",4,68.45,54.5
"adversary",1,186.8,59
"adversity",1,18.3,74
"advertised",1,46.4,78
"advertising",6,29.07,45.17
"advice",3,148.87,65.67
"advised",1,1.3,11
"advisor",2,56.15,32.5
"aeon",1,25.9,10
"aerial",1,90.3,26
"aerialist",1,12.5,47
"afar",1,0.03,37
"affable",2,19.95,64.5
"affair",18,19.02,34
"affairs",4,7.35,47.75
"affect",4,46.38,45.75
"affected",6,27.78,64
"affecting",1,4,27
"affection",3,83.97,46.67
"affections",3,18.27,49
"affects",4,11.51,75.5
"affiliates",1,4,66
"affirmative",1,1.9,78
"afflict",1,1,61
"afflicted",1,0.6,69
"affliction",1,0.1,79
"affluent",1,16.2,63
"afford",2,0.15,29.5
"afghan",1,318.3,94
"afghanistan",6,41.03,69.5
"afloat",1,1.7,57
"afoot",1,23.6,91
"afoul",1,31.5,26
"afraid",6,32.15,44.33
"africa",9,17.08,58.89
"african",17,40.19,60.41
"aftermath",3,22.15,77.67
"age",35,32.72,59.06
"aged",12,69.66,70.08
"ageless",1,42.6,54
"agencies",1,186.1,59
"agency",7,48.26,52.29
"agenda",5,113.98,45.6
"agent",77,60.61,44.88
"agents",14,39.19,48.36
"ager",1,2,96
"ages",1,3.5,24
"aggravating",1,1.5,81
"aggressive",3,88.97,40.33
"aggressively",1,32.6,17
"aggrieved",1,19.5,49
"aging",12,26.82,60.67
"ago",18,16.15,34.5
"agree",6,39.33,33.67
"agreeing",1,75.5,83
"agrees",10,58.17,71.5
"agro",1,33.3,79
"ahead",2,25.8,37
"ahmad",1,125.1,75
"ai",1,0.5,97
"aid",5,33.45,58
"aide",1,37,84
"aided",1,102.5,86
"aiding",1,92.9,69
"aids",2,28.2,69.5
"aileen",2,23.05,55
"ailing",6,11.1,54.83
"aimless",2,55.3,58
"air",6,83.19,59.83
"aircraft",1,0.05,80
"aires",2,0.6,59.5
"airing",1,0.03,64
"airline",3,66.43,51.67
"airliner",1,93.7,77
"airplane",1,18.5,21
"airport",2,46.8,46
"aisle",2,50,79.5
"aivaaq",1,0.07,67
"ajla",1,0.3,55
"aka",4,38.35,42.5
"al",3,39.82,62
"alabama",5,47.1,52.2
"alan",5,116.66,53.4
"alaska",8,21.2,60.88
"alaskan",2,28.7,70
"albans",1,4.9,58
"albany",1,0.05,51
"albert",7,32.21,58.43
"album",2,0.53,64
"alcohol",2,0.35,63
"alcoholic",8,13.09,47.63
"alderman",1,37.8,31
"aldous",1,60.9,73
"alejandro",2,23,62
"alerts",1,42,59
"alex",8,82.5,48
"alexander",2,30.45,13.5
"alfred",2,8.1,76
"ali",1,58.2,67
"alias",1,70.5,73
"alice",9,67.25,38.22
"alien",30,85.01,47
"alienated",1,44.5,71
"aliens",7,50.44,35
"alig",1,0.3,29
"aligned",1,51.5,31
"aligns",2,11.45,16
"alike",2,36.05,61.5
"alinsky",1,14.4,8
"alison",1,0.02,53
"alive",14,30.1,49.14
"allan",1,16,22
"allegation",1,292.3,48
"allegedly",5,39.3,45.4
"allen",4,7.56,39.25
"alliance",10,74.27,42.5
"alliances",1,309.4,45
"allied",1,1,66
"allies",2,195.55,78
"allison",2,24.15,46.5
"allow",1,118.2,69
"allowing",1,238.3,58
"allows",5,45.54,16.6
"ally",6,153.4,55.17
"allyson",1,10.4,18
"alma",3,26.97,64
"almighty",1,242.6,48
"almost",9,17.06,57.11
"alone",8,26.54,47.63
"along",29,52.57,54.14
"alongside",5,45.43,50.6
"aloof",1,28.6,32
"alpha",1,86,83
"already",1,10.7,16
"also",30,54.09,49.47
"alter",8,47.92,40.13
"altered",2,131.95,77
"altering",3,21.97,64
"alternate",9,74.34,32.33
"alternating",1,3.7,53
"alternative",7,17.24,53.71
"alters",3,17.89,25.33
"although",3,29.3,30.67
"altmann",1,33,53
"altogether",2,37.65,34
"alvarez",1,5.9,42
"alvin",1,217.2,27
"always",11,18.7,29.45
"alzheimer",4,10.08,90.5
"amanda",2,33.2,28.5
"amassing",1,5.6,10
"amateur",5,19.06,70.2
"amato",1,0.09,8
"amazing",5,6.3,53.4
"amazon",2,89.55,59.5
"ambassador",3,58.4,33.67
"ambiguous",2,16.85,66.5
"ambition",1,16.8,60
"ambitions",1,3.8,72
"ambitious",14,29.96,56.57
"amelia",2,15.15,35.5
"america",48,37.69,65.42
"american",111,25.44,51.58
"americans",7,27.14,40.14
"americas",1,0.1,86
"ames",2,18.65,31.5
"amid",1,0.02,10
"amidst",4,2.53,77.5
"amie",1,2.9,93
"amir",1,15.7,66
"amiss",2,6.25,30.5
"amme",1,17.1,14
"amnesia",2,60.85,59.5
"amnesiac",1,7.1,81
"among",10,24.38,61.5
"amongst",3,147.1,50.33
"amorous",1,10.1,65
"amount",2,40.2,58
"amounts",1,17.8,79
"amputee",1,46.2,41
"amsterdam",3,46,45.67
"amusement",3,41.63,64
"amy",1,0.02,56
"ana",2,3.7,41.5
"anakin",2,345.25,73.5
"analysis",2,50.85,74
"analyst",3,59.57,54
"anarchist",1,2.3,74
"anarchy",2,224.15,43.5
"ancestor",2,148.75,55
"ancestral",3,51,42
"anchor",2,42.07,39
"ancient",16,59.47,36.38
"anderson",5,74.54,38.6
"andes",2,5.5,47.5
"andie",1,105.8,42
"andrea",3,0.1,13
"andrew",1,0.01,51
"android",2,12.4,35.5
"androids",1,5.3,22
"andy",4,112.7,35.25
"anesthetic",1,14.3,23
"angel",4,6.46,40
"angela",1,0.2,17
"angeles",41,23.64,51.83
"angelina",1,4.4,14
"angels",2,50.39,39.5
"anger",1,133.8,43
"angie",1,0.4,50
"angling",1,37.4,67
"angry",2,122.15,40.5
"animal",9,34.36,47.67
"animals",12,90.84,50.42
"animated",5,48.68,40.6
"animation",2,0.32,67
"anker",1,0.9,76
"ankle",1,0.2,29
"ann",4,63.83,41.25
"anna",5,101.6,54.6
"annapolis",2,8.4,27.5
"annie",1,0.04,58
"annihilate",1,166.1,39
"annihilation",1,1.6,48
"annihilators",1,80.1,16
"anniversary",3,23.36,75.33
"announcement",1,25.8,13
"announcements",1,5.8,84
"announces",5,26.98,54.8
"annoyance",1,75.6,21
"annoying",1,13.2,85
"annual",14,28.2,46.14
"anonymous",2,22.15,63.5
"another",50,52.17,40.88
"ansiedad",1,2.6,30
"answer",6,5.66,35.33
"answers",12,23.87,52.08
"ant",1,28.1,63
"antarctic",1,81.6,72
"antarctica",5,22.02,50.4
"anthology",1,0,13
"anthony",6,15.43,45.83
"anti",7,7.12,55.29
"anticipate",1,11.5,20
"antics",2,14.75,20.5
"antigens",1,18.3,9
"antique",1,49.1,40
"antiwar",1,1,77
"antoine",1,0.08,87
"antoinette",1,16,55
"antonio",1,29.5,4
"antonioni",1,0.05,34
"antwone",1,20.8,79
"anubis",2,19.7,5
"anxiety",2,76.75,49
"anxious",2,0.12,84.5
"anymore",1,0.04,74
"anyone",5,63.32,48.2
"anything",6,31.95,45
"apache",1,26.8,58
"apart",21,40.25,40.19
"apartheid",2,20.85,76
"apartment",22,27.07,55
"ape",3,131.83,71.67
"apes",2,91.6,67.5
"apocalypse",4,52.28,59.75
"apocalyptic",8,44.6,61
"apollo",4,11.05,45.75
"appalachia",2,0.15,49.5
"appalachian",1,0.02,44
"apparent",2,53.9,54.5
"apparitions",2,91.95,42.5
"appeal",2,65.6,67
"appear",2,1.83,42.5
"appearance",3,17.9,27
"appears",5,43.26,54.8
"apple",2,108.23,74.5
"applies",1,36.3,36
"apply",1,36.5,69
"appoint",1,148.4,10
"appointed",5,54.54,50.8
"appoints",1,5.9,7
"appreciation",1,21.4,37
"apprehend",1,31.1,77
"apprentice",4,57.33,27.5
"apprentices",1,4.1,93
"approach",4,106.77,61.5
"approaches",3,49.23,55.33
"approaching",3,100.53,28
"appropriately",1,0.2,73
"approve",1,0.1,41
"apps",1,0.2,0
"april",3,30.1,66.67
"aptly",1,213.1,54
"aqua",1,5.4,48
"aquatic",1,19,81
"arab",5,19.76,39.4
"arabia",2,64.9,54
"arabic",1,0.3,38
"aragorn",1,377,95
"arbitrarily",1,10.8,65
"arbuckle",2,51.8,13
"arbus",2,0.1,32
"arcade",2,94.95,91.5
"arcadia",1,60.1,23
"arch",2,20.4,35
"archaeological",3,39,27
"archaeologist",2,158.55,53
"archaeologists",1,80.2,21
"archery",1,237.3,78
"architect",7,43.01,31.43
"archival",1,0.8,85
"arcs",1,93.9,40
"arctic",4,5.5,74.25
"arduous",1,135.6,65
"area",11,18.96,68.45
"areas",1,34.6,94
"aren",5,37.38,33.8
"arena",2,14.55,54
"arenas",1,2.8,73
"ares",1,83.6,25
"argentinian",1,0.9,48
"arise",7,39.37,34.71
"arising",1,1.1,11
"aristocrat",3,24.57,51.67
"aristocratic",3,19.07,44
"arizona",2,50.13,48
"ark",1,100.3,23
"arkansas",1,119.3,82
"arm",3,15.53,46.67
"armada",2,40.75,34.5
"armando",1,0.03,37
"armed",7,64.68,59.71
"armenian",1,0.2,20
"armies",2,104,39
"arming",1,2.4,77
"armor",1,318.3,94
"armored",1,16,40
"arms",9,51.7,49.44
"armstrong",1,0.4,84
"army",27,93.28,57.89
"arnel",1,0.06,62
"around",58,32.56,50.33
"arranged",4,27.73,73.5
"arrangements",1,0,33
"arranges",3,19.2,13.67
"array",2,8.55,72
"arrest",6,35.6,64.33
"arrested",5,31.58,60.2
"arrival",14,16.87,60.36
"arrivals",1,33.1,62
"arrive",3,30.83,42
"arrived",1,9.8,80
"arrives",10,42.28,60.6
"arriving",2,3.76,25.5
"arrogance",1,200.7,74
"arrogant",3,68.67,70.67
"arrow",1,23.5,64
"arsonist",1,1.8,50
"art",18,8.84,57.78
"artagnan",2,23.5,17.5
"artemisia",1,106.6,42
"arthur",4,24.83,39.75
"article",3,49,59
"articles",1,2.1,91
"artie",3,158.43,25.33
"artifacts",3,160.8,36.33
"artificial",5,25.24,33
"artillery",1,0.06,85
"artist",18,8.9,54.83
"artistic",1,2.6,100
"artists",5,2.17,78
"arts",16,65.16,47.81
"arturo",1,0.6,35
"artwork",1,33,53
"artworks",1,0.5,0
"ascends",2,10,29
"ascension",2,77.45,60.5
"asgard",1,181,77
"ash",3,8.57,37.33
"ashes",1,0.3,40
"ashley",1,17.2,13
"asia",2,0.4,31
"asian",2,10.95,77.5
"aside",3,36.33,18
"ask",2,34.2,31.5
"asked",6,18.13,47.83
"asks",4,40.47,63
"asocial",1,170.7,75
"aspect",2,60.15,76
"asperger",1,2.1,64
"aspirations",2,20.9,61.5
"aspires",4,70.18,48
"aspiring",16,32.49,48.69
"ass",2,28.8,30
"assailant",1,19.8,8
"assailants",3,50.33,40
"assange",1,0.2,93
"assassin",20,71.45,48.5
"assassinate",2,73.55,80.5
"assassinated",1,0.7,49
"assassinating",1,179,69
"assassination",16,83.52,52.88
"assassins",7,57.54,39
"assault",2,118.25,64
"assaulted",1,0.4,27
"assaulting",1,32.7,41
"assemble",2,42.25,50.5
"assembles",2,25.6,56
"assess",1,0.1,38
"asset",1,68.3,19
"assigned",11,43.31,47.18
"assignment",12,24.48,37.33
"assimilate",1,3,90
"assist",4,48.15,66.75
"assistance",2,47.6,35.5
"assistant",14,40.55,50.71
"assisted",2,96.7,36.5
"associate",1,43.6,22
"associates",3,16.7,30.67
"association",1,33.4,21
"assortment",2,21.85,54
"assume",2,0.06,66.5
"assumed",1,217.4,98
"assumes",1,0.2,20
"assuming",2,35.45,62
"assumption",1,0.09,0
"asteroid",1,6.6,55
"astonishing",3,0.33,49.67
"astoria",1,0.4,76
"astoundingly",1,6.3,41
"astronaut",6,98.72,47.83
"astronauts",4,47.35,36
"asylum",2,31.9,44.5
"athens",2,0.9,90
"athlete",5,39.94,52.8
"athletes",1,44.5,79
"atlanta",5,35.28,32.8
"atlantis",1,83.6,49
"atm",1,0,9
"atmosphere",1,32.8,75
"atop",1,148.2,72
"atrocities",1,0.7,0
"attached",1,0.5,0
"attack",27,61.06,45.93
"attacked",7,65.5,47.71
"attackers",1,0.09,34
"attacks",7,60.1,71
"attempt",34,56.04,51.29
"attempted",3,72.6,25
"attempting",3,2.74,62.67
"attempts",25,24.03,46.36
"attend",6,11.97,56.33
"attendant",1,15.5,14
"attending",7,96.74,57.57
"attends",2,31.8,55
"attention",4,14.43,51.5
"attic",1,415,99
"attitude",3,13.18,16.67
"attitudes",2,17.45,76.5
"attorney",6,34,38.17
"attract",1,0.1,36
"attracted",2,5,30
"attracting",1,5.7,59
"attraction",4,155,46.25
"attractive",4,12.3,12.5
"attracts",7,14.9,62
"aubrey",1,15.8,94
"auctioneer",1,2.3,68
"auctions",1,0.2,67
"audiences",2,58.87,59
"audition",1,0.4,60
"auditions",1,1.5,92
"auditor",1,40.1,72
"audrey",1,0.01,47
"augments",1,39.3,33
"augusten",1,6.8,31
"augusto",1,2.3,93
"aunt",5,80.71,44
"aurochs",1,12.8,86
"austen",5,3.02,49.2
"austin",2,113.05,69
"australia",5,29.14,71.6
"australian",3,5.6,48.67
"austrian",2,46.5,60.5
"author",12,30.89,52.33
"authoritarian",2,148.3,45
"authorities",6,74.73,64.67
"authority",3,36.23,65
"auto",1,15,27
"autobiographical",1,0.08,83
"autobots",3,333.3,24
"automakers",1,4.2,59
"automaton",1,73.8,94
"automobile",3,39.13,38.67
"automotive",1,0.1,10
"available",1,7.5,51
"avant",1,7.2,89
"avaricious",1,88.6,96
"avatars",1,131.6,6
"avenge",7,18.46,26.29
"avenging",1,0.04,48
"avenue",1,55.8,44
"average",4,7.26,38.25
"aversion",1,0.04,36
"avery",2,10.85,20
"aviator",1,102.6,87
"avid",1,18.4,35
"avoid",8,95.51,61.88
"avoiding",1,15.4,47
"avoids",1,1.1,43
"await",3,12.87,45
"awaiting",2,30.45,52
"awaits",3,38.03,78
"awake",1,14.3,23
"awaken",2,1.65,28.5
"awakened",3,13.17,21.67
"awakening",1,26.5,21
"awakenings",1,0.09,79
"awakens",6,28.13,27.67
"awakes",2,25.5,47
"award",5,14.08,54.4
"awards",2,0.06,42
"aware",3,109,61
"awareness",2,7.75,56.5
"away",47,47.39,48.91
"awe",1,0.05,77
"awful",1,117.5,69
"awkward",6,36.21,38
"awkwardly",1,1.4,21
"awol",1,0.02,13
"awry",10,74.75,43.2
"axed",1,45.3,38
"aya",1,3.3,31
"ayodele",1,0.1,93
"ayrton",1,1.6,92
"az",1,4.8,62
"b",14,74.05,45.21
"baadasssss",1,0.3,91
"babe",1,8.4,45
"babies",2,4.65,29
"baby",13,42.86,44.15
"babysit",1,9.4,25
"babysitting",2,39.05,15
"bachelor",10,107.55,48.9
"back",111,48.99,43.55
"backdrop",12,4.97,46.83
"backed",2,33.4,56.5
"backfired",1,12.1,70
"backfires",1,16.5,29
"background",2,71.65,44.5
"backgrounds",1,58,27
"backpackers",2,27.1,38.5
"backstage",5,27.4,68.8
"backup",1,4.9,99
"backwards",1,127.5,73
"backwater",1,12.6,19
"backwoods",2,14.75,36
"backyard",2,25.98,40
"bacon",1,36.3,37
"bad",11,51.91,22.09
"badalandabad",1,3.8,7
"badges",1,82.4,18
"bag",2,0.05,18.5
"baggins",3,273.27,70.67
"baghdad",1,0.06,85
"bah",1,2.8,0
"bail",2,25.95,16
"bailed",1,14.1,66
"baja",2,0.6,60
"baked",1,0.08,27
"baker",4,70.68,44.25
"balance",6,48.37,54.17
"balboa",1,70.1,76
"balian",1,47.3,39
"ball",1,2.9,45
"ballard",1,0.04,38
"ballerina",1,62.5,72
"ballet",4,27.45,82.5
"balloons",2,147.05,62.5
"ballroom",3,21.91,55.67
"balog",1,1.3,96
"balthazar",1,63.1,41
"baltimore",6,59.07,46.17
"bam",1,72.8,63
"ban",1,89.8,38
"band",39,49.19,60.69
"banderas",1,45.4,26
"bandini",1,0.6,35
"bandit",2,27.3,61
"bandito",1,0.08,0
"bandmates",1,0.07,94
"bands",4,8.18,73.5
"bane",1,448.1,87
"bang",1,5.4,87
"bangkok",2,8,24.5
"banished",1,43.3,15
"bank",18,44.37,47.61
"banker",2,32.85,24.5
"bankrolling",1,4.8,47
"banks",2,34.35,59.5
"banned",3,57.8,70.33
"banner",4,213.83,67.5
"banning",2,98.9,48
"bar",6,38.52,45.67
"barack",4,12.05,8.5
"barbara",1,0.3,40
"barbarian",1,21.3,24
"barbarians",1,73.1,51
"barbeque",1,11.5,5
"barber",2,30.1,83.5
"barbershop",1,75.1,82
"barbossa",2,275.25,39
"barden",2,111,73.5
"bare",2,11.5,42
"bargain",1,73.3,25
"bargained",7,30.87,49.71
"barges",1,24.8,67
"barker",1,52.8,86
"barkley",2,0.3,25
"barlow",1,0.1,41
"barnabas",1,79.7,37
"barney",2,39.3,33
"barnhardt",2,24,51
"barnyard",1,49.2,35
"baron",2,47.25,51.5
"barred",1,86.9,64
"barreling",1,81.6,86
"barren",1,73.1,51
"barret",1,17.4,40
"barrier",2,68.05,89
"barriers",1,0.04,69
"barrio",1,1.1,48
"barris",1,15.9,79
"barrow",1,0.07,67
"barry",5,71.92,50.4
"barrymore",1,0.09,71
"bars",3,58.19,38.33
"barsinister",1,43.7,14
"barsoom",1,73.1,51
"bartender",1,57.8,71
"baruchel",1,101.5,83
"base",3,3.25,67.67
"baseball",14,39.34,44.43
"based",53,25.31,46.08
"basement",4,12.43,51.75
"basis",2,111.25,81
"basketball",20,19.71,42.5
"bathsheba",1,9.9,85
"batista",1,2.4,25
"batman",1,205.2,85
"battery",1,13.6,63
"battle",45,61,49.22
"battlefield",2,266.15,81.5
"battles",6,102.92,45.33
"battleship",1,68.6,39
"battling",3,11.92,35
"bauby",1,5.9,94
"bauers",1,0.3,73
"bauhaus",1,0.09,59
"bawdy",1,44.1,77
"baxter",1,100.3,23
"bay",4,36.03,66.5
"bayley",1,5.4,79
"baymax",1,222.5,89
"bayou",3,4.68,43.33
"bayous",1,0.05,33
"bazaar",1,1,94
"baze",1,11.3,53
"bea",1,0.01,70
"beach",12,25.93,57.33
"beacon",1,42,59
"beagle",1,43.7,14
"beak",2,131.5,48
"beane",1,75.6,95
"beans",2,2.1,0
"bear",13,62.42,55.69
"bears",1,16.9,30
"beast",1,27.9,21
"beastly",1,237.3,78
"beat",8,27.99,63.5
"beaten",2,5.8,64
"beating",1,4.2,82
"beatles",2,12.2,68.5
"beatrice",1,130,30
"beatrix",1,2.9,66
"beau",3,35.3,18.33
"beautiful",18,24.78,40.22
"beauty",10,26.81,45.4
"beautyshop",1,0.09,12
"beaver",2,0.51,63.5
"bebop",1,0.9,64
"beca",1,61.1,81
"became",14,30.87,59.64
"becca",1,36.7,5
"beck",1,0.1,48
"beckwith",1,209.2,75
"becky",1,16.1,51
"become",89,35.33,47.21
"becomes",99,43.12,50.62
"becoming",16,52.37,44.94
"bed",2,7.85,31.5
"bedroom",2,26.4,48.5
"bedtime",2,76.1,24.5
"bee",6,27.03,70.5
"beens",1,34.3,41
"beer",3,7,20.33
"beethoven",1,0.2,28
"befall",1,0.3,34
"befriend",1,104,68
"befriended",2,0.71,42
"befriending",1,1.9,82
"befriends",12,31.44,56.58
"began",2,8.95,41
"begin",25,28.91,51.56
"beginning",5,24.75,38
"beginnings",3,34.72,73
"begins",50,45.13,45.86
"begrudgingly",2,0.06,43
"behalf",2,12.35,59.5
"behaving",1,24.4,65
"behavior",12,52.2,49.83
"behaviors",1,8.9,37
"behest",1,0.4,54
"behind",41,51.74,49.1
"beings",1,131.8,37
"belacqua",1,70.1,42
"belarussian",1,28.6,57
"beleaguered",1,0.4,54
"belfast",1,0.01,48
"belfort",1,116.9,77
"belgium",1,7.6,84
"belief",3,28.37,23
"believe",9,44.02,48.67
"believed",3,34.73,53.33
"believes",19,42.94,43.68
"believing",2,24.85,20.5
"bell",1,70.1,76
"bella",3,292.8,33.67
"bellamy",1,31.1,86
"bellas",3,94.37,76
"belle",2,0.2,25.5
"belo",1,0.4,26
"belong",2,28.55,5
"belonged",1,0.06,44
"belonging",1,32.7,41
"belongs",2,16.65,68
"beloved",14,61.51,69.43
"belt",2,1.7,33.5
"beltway",1,0.09,83
"ben",14,23.56,48.64
"benches",1,67.2,65
"beneath",2,44.75,58.5
"benefactor",1,0.3,64
"benefit",2,23.2,19
"benefits",1,119.7,14
"bengal",1,125,87
"benjamin",8,64.51,51.63
"bennet",2,19.19,75.5
"bennett",1,218.6,67
"bennie",2,0.3,71
"benson",1,126.6,51
"bent",4,13.35,22.5
"beowulf",1,82.2,71
"bequeathed",1,12.4,25
"bequeaths",1,31.9,37
"berated",1,80.2,40
"bereaved",1,89.6,38
"berg",1,34.1,61
"bering",1,30.1,14
"berke",1,11.3,44
"berkeley",1,0.2,36
"berlin",4,30.78,60
"bermuda",1,42.8,21
"bernstein",1,0.6,100
"bert",1,1.6,63
"bertram",1,13.2,85
"beset",1,373.4,94
"besieged",1,8.1,5
"best",70,32.69,42.97
"bestowed",1,43.7,14
"bestows",1,116.6,26
"bestselling",1,0.3,7
"bet",2,64.85,36.5
"beth",7,45.31,29.86
"bethany",1,43.9,46
"bethlehem",1,37.6,38
"betrayal",5,72.38,43.8
"betrayed",7,59.33,57.71
"betraying",1,83.9,23
"betrothal",1,16,55
"betrothed",1,23.2,28
"bets",1,105.8,42
"better",13,32.72,39.85
"bettie",2,0.75,64
"beverly",4,32.48,42.25
"bewitched",1,62.3,25
"beyond",10,18.97,56.3
"bi",1,24,51
"bialystock",1,19.2,51
"bianca",1,6.4,89
"biased",1,0.2,79
"bible",1,0.6,38
"biblical",4,20.73,10.5
"bid",6,28.23,37
"bides",1,0.05,10
"bieber",1,73,64
"big",40,41.77,47.15
"bigfoot",1,6.5,2
"bigger",5,17.36,54.8
"biggest",12,18.31,52.33
"bigoted",1,0.3,49
"bike",2,12.65,78.5
"biker",6,42.28,22.5
"bikers",1,0.2,10
"bikes",1,3,6
"bikini",1,85.4,68
"bilbo",3,273.27,70.67
"bill",6,33,71.33
"billings",1,0.02,56
"billion",3,18.87,44.67
"billionaire",6,44.18,40.83
"billions",1,68.8,26
"bills",5,36.7,43
"billy",7,30.79,51.29
"bin",1,95.7,93
"binew",2,0.01,50
"bing",1,0.8,92
"bingham",1,83.8,91
"biographical",2,7.55,58
"biography",4,22.5,55.5
"biohazard",1,12,72
"biological",3,2.84,27.67
"biologist",1,5,52
"biology",2,22.9,19
"biopic",1,102.6,87
"biotech",1,0.08,19
"biotechnology",1,115.6,90
"bird",5,55.6,58.8
"birth",10,52.67,55.7
"birthday",11,32.34,49.36
"birthplace",1,0.03,0
"birthright",1,64.9,49
"bisexual",1,6.5,43
"bishop",4,21.3,41.5
"bison",1,8.6,18
"bissinger",1,60.6,81
"bit",1,30.2,32
"bitten",3,116.57,40.67
"bitter",4,24.65,49.25
"bitterly",1,3.8,72
"bizarre",14,30.97,37.29
"black",35,63.14,53
"blackbeard",1,241.1,33
"blackface",1,1.9,48
"blackheart",1,115.8,26
"blacklisted",2,28.95,31.5
"blackmail",1,0.02,9
"blackmailed",2,21.35,28.5
"blackmails",2,6.1,45.5
"blackouts",1,0,20
"blacksmith",2,160.45,64
"blackwell",1,15,8
"blade",2,67,42.5
"blake",2,36,23.5
"blank",1,1.9,52
"blart",2,68.4,6
"blasted",1,29.9,34
"blaze",2,83.8,21.5
"blazing",1,0.8,87
"blend",2,69.21,63.5
"blessitt",1,0.6,18
"blind",11,20.35,49.91
"blinded",1,102.5,45
"blindness",2,2.65,42.5
"bliss",1,0,0
"blissful",1,1.5,86
"blissfully",2,79.6,36.5
"blizzard",1,0.02,34
"block",1,2.5,79
"blocks",3,47.03,45.33
"blogger",1,94.1,75
"blomkvist",1,102.5,86
"blonde",1,0.6,35
